"gemeenten";"nieuwkomers per 1.000 inwoners 18+ jaar|2014";"nieuwkomers per 1.000 inwoners 18+ jaar|2015";"nieuwkomers per 1.000 inwoners 18+ jaar|2016";"nieuwkomers per 1.000 inwoners 18+ jaar|2017";"nieuwkomers per 1.000 inwoners 18+ jaar|2018";"nieuwkomers per 1.000 inwoners 18+ jaar|2019";"nieuwkomers per 1.000 inwoners 18+ jaar|2020";"nieuwkomers per 1.000 inwoners 18+ jaar|2021";"nieuwkomers per 1.000 inwoners 18+ jaar|2022";"nieuwkomers per 1.000 inwoners 18+ jaar|2023";"nieuwkomers per 1.000 inwoners 18+ jaar|2024"
"Bilzen-Hoeselt";2,3;3,7;4,2;4,1;3,3;4,6;3,7;4,1;4,0;5,6;5,0
"Blankenberge";4,5;3,3;6,8;5,2;4,5;7,0;3,4;4,2;5,8;8,9;8,5
"Bocholt";4,6;6,3;6,6;5,9;5,9;6,1;4,9;6,8;11,3;10,5;9,1
"Boechout";3,2;3,1;3,6;4,2;3,9;4,4;2,8;2,4;2,7;3,9;3,6
"Bonheiden";1,7;1,9;2,7;1,5;2,8;2,8;3,0;2,2;2,8;3,3;3,7
"Boom";5,2;5,8;7,6;7,8;8,5;8,8;8,1;5,6;10,7;9,7;10,1
"Boortmeerbeek";3,2;2,0;5,3;5,1;5,9;3,7;3,0;3,2;5,6;4,9;5,9
"Bornem";1,9;2,9;3,0;3,3;2,7;3,0;2,6;3,1;4,2;3,5;4,2
"Boutersem";1,9;2,1;2,5;2,8;3,7;3,7;4,4;3,5;3,3;5,9;3,8
"Brakel";2,1;1,7;3,4;2,4;1,9;1,4;2,1;2,3;3,3;2,4;2,6
"Brasschaat";5,1;5,3;5,5;5,4;5,7;5,3;5,4;3,1;4,9;5,8;4,7
"Brecht";3,2;3,8;5,0;3,9;5,4;4,5;4,4;3,7;4,8;5,0;4,6
"Bredene";3,3;2,8;4,1;3,3;3,1;4,0;3,6;2,7;3,2;4,3;5,3
"Bree";5,2;5,7;5,0;8,0;6,3;5,8;7,2;5,5;9,7;11,3;10,7
"Brugge";8,3;7,5;8,7;11,7;10,2;11,4;6,6;9,4;9,1;12,1;12,1
"Brussel";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?";"?"
"Buggenhout";1,6;1,8;2,4;3,1;3,8;4,0;2,9;1,8;4,1;3,7;3,6
"Damme";1,7;2,2;36,0;2,4;2,4;3,2;15,6;15,9;10,3;8,0;6,2
"De Haan";0,6;1,0;6,7;3,9;2,6;2,0;3,2;2,6;2,5;3,6;4,1
"De Panne";5,4;4,6;8,5;7,5;6,5;6,6;5,9;4,1;2,5;4,8;3,2
"Deerlijk";2,4;3,0;4,4;2,7;2,3;3,7;3,5;2,7;3,6;3,4;3,3
"Deinze";4,8;4,7;4,5;4,5;5,5;5,4;4,8;3,5;5,7;6,2;6,7
"Denderleeuw";3,3;3,4;5,5;5,7;7,3;6,9;7,2;5,7;3,8;5,1;7,0
"Dendermonde";3,3;3,3;4,5;3,5;3,9;5,3;4,4;2,8;3,8;4,8;4,3
"Dentergem";3,6;3,2;3,3;3,2;4,3;4,1;4,2;3,5;4,3;4,5;4,6
"Dessel";4,5;5,2;5,7;6,6;4,4;4,8;4,5;5,4;10,0;7,0;9,9
